SmedID,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,tissue,annotations
SMED30000129,0,0.835240929,0.718,0.023,0,Cathepsin16,SMED30000129,Cathepsin,NA
SMED30000134,4.21E-176,0.314328329,0.426,0.126,1.19E-171,Cathepsin9,SMED30000134,Cathepsin,60S ribosomal protein L4
SMED30000179,0,0.270595079,0.307,0.057,0,Cathepsin3,SMED30000179,Cathepsin,Slc16a-5
SMED30000459,2.81E-51,-0.390671545,0.046,0.261,7.94E-47,Cathepsin11,SMED30000459,Cathepsin,Dynamin-1-like protein
SMED30000459,1.74E-59,-0.406496067,0.032,0.261,4.92E-55,Cathepsin10,SMED30000459,Cathepsin,Dynamin-1-like protein
SMED30000459,3.65E-218,0.791369425,0.677,0.238,1.03E-213,Cathepsin12,SMED30000459,Cathepsin,Dynamin-1-like protein
SMED30000459,5.77E-138,-0.424791044,0.035,0.274,1.63E-133,Cathepsin2,SMED30000459,Cathepsin,Dynamin-1-like protein
SMED30000459,1.18E-132,-0.371049734,0.08,0.278,3.33E-128,Cathepsin0,SMED30000459,Cathepsin,Dynamin-1-like protein
SMED30000459,3.49E-165,0.331557402,0.568,0.234,9.87E-161,Cathepsin8,SMED30000459,Cathepsin,Dynamin-1-like protein
SMED30000459,6.06E-105,-0.407982782,0.05,0.27,1.71E-100,Cathepsin3,SMED30000459,Cathepsin,Dynamin-1-like protein
SMED30000459,0,0.722171394,0.646,0.201,0,Cathepsin1,SMED30000459,Cathepsin,Dynamin-1-like protein
SMED30000565,1.53E-170,0.294992771,0.358,0.047,4.34E-166,Cathepsin16,SMED30000565,Cathepsin,"Dynein heavy chain 12, axonemal"
SMED30000702,2.91E-135,0.309914925,0.399,0.133,8.24E-131,Cathepsin9,SMED30000702,Cathepsin,cytochrome b
SMED30000756,0,0.867380393,0.714,0.054,0,Cathepsin15,SMED30000756,Cathepsin,EGFR-5
SMED30000771,8.20E-108,0.568802203,0.668,0.359,2.32E-103,Cathepsin13,SMED30000771,Cathepsin,Neuroblast differentiation-associated protein AHNAK
SMED30000867,0,0.275254426,0.305,0.039,0,Cathepsin10,SMED30000867,Cathepsin,Kynurenine 3-monooxygenase
SMED30001130,6.87E-258,0.25695001,0.276,0.033,1.94E-253,Cathepsin13,SMED30001130,Cathepsin,Death-associated protein kinase 1-like
SMED30001142,2.70E-250,0.291237798,0.327,0.041,7.63E-246,Cathepsin14,SMED30001142,Cathepsin,Cadherin
SMED30001359,1.80E-101,0.537358735,0.654,0.351,5.09E-97,Cathepsin13,SMED30001359,Cathepsin,Neuroblast differentiation-associated protein AHNAK
SMED30001362,1.25E-114,0.270224194,0.407,0.15,3.52E-110,Cathepsin9,SMED30001362,Cathepsin,SMEDWI-3
SMED30001376,9.23E-172,0.280208809,0.455,0.238,2.61E-167,Cathepsin0,SMED30001376,Cathepsin,Collagen alpha-1(IV) chain
SMED30001376,6.42E-24,-0.266154846,0.136,0.272,1.81E-19,Cathepsin10,SMED30001376,Cathepsin,Collagen alpha-1(IV) chain
SMED30001376,0,1.110613256,0.902,0.227,0,Cathepsin7,SMED30001376,Cathepsin,Collagen alpha-1(IV) chain
SMED30001473,0,0.380118546,0.421,0.036,0,Cathepsin16,SMED30001473,Cathepsin,Lipoxygenase homology domain-containing protein 1
SMED30001479,7.95E-51,0.269018182,0.344,0.091,2.25E-46,Cathepsin17,SMED30001479,Cathepsin,NA
