"SmedID","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","annotations","tissue"
"SMED30000022",0,2.05920805098445,0.623,0.005,0,46,NA,"Parenchymal"
"SMED30000038",8.04348744450798e-262,0.538349742527185,0.443,0.092,2.70816178769139e-257,67,"Ribosome-binding protein 1","Parenchymal"
"SMED30000038",1.08326394523712e-93,0.295898912643577,0.392,0.092,3.64724137721886e-89,84,"Ribosome-binding protein 1","Parenchymal"
"SMED30000038",0,0.522427873314843,0.577,0.091,0,66,"Ribosome-binding protein 1","Parenchymal"
"SMED30000065",0,0.252054479022955,0.387,0.137,0,3,NA,"Protonephridia"
"SMED30000129",0,0.278983196529529,0.358,0.06,0,20,NA,"Neural"
"SMED30000129",0,0.984995885125029,0.767,0.038,0,7,NA,"Neural"
"SMED30000129",0,0.582987389567736,0.563,0.06,0,35,NA,"Neural"
"SMED30000134",0,0.297251873623063,0.46,0.157,0,13,"60S ribosomal protein L4","Epidermis"
"SMED30000134",0,0.319141199272664,0.452,0.147,0,4,"60S ribosomal protein L4","Stem Cells"
"SMED30000223",0,0.309119440065245,0.305,0.025,0,2,"Otoferlin","Epidermis"
"SMED30000428",0,0.402671204815681,0.433,0.052,0,20,"Glutathione S-transferase","Neural"
"SMED30000459",0,0.777508688896799,0.45,0.057,0,45,"Dynamin-1-like protein","Cathepsin"
"SMED30000459",0,0.537215378047289,0.464,0.056,0,27,"Dynamin-1-like protein","Cathepsin"
"SMED30000459",0,0.547120677103513,0.377,0.048,0,5,"Dynamin-1-like protein","Cathepsin"
"SMED30000459",0,0.436702846409367,0.306,0.05,0,6,"Dynamin-1-like protein","Intestine"
"SMED30000565",0,0.313457795329086,0.407,0.093,0,20,"Dynein heavy chain 12, axonemal","Neural"
"SMED30000565",0,0.279409801622133,0.367,0.087,0,7,"Dynein heavy chain 12, axonemal","Neural"
"SMED30000565",0,0.36026606443341,0.435,0.09,0,12,"Dynein heavy chain 12, axonemal","Neural"
"SMED30000565",0,0.279126786155733,0.355,0.082,0,3,"Dynein heavy chain 12, axonemal","Protonephridia"
"SMED30000702",0,0.283989827976895,0.377,0.138,0,4,"cytochrome b","Stem Cells"
"SMED30000707",0,0.524890657127441,0.408,0.003,0,23,"Sodium/hydrogen exchanger","Protonephridia"
"SMED30000710",0,0.46510616403638,0.403,0.001,0,42,"Venom allergen","Parenchymal"
"SMED30000735",0,0.77038792847822,0.559,0.005,0,42,"Venom allergen","Parenchymal"
"SMED30000756",0,0.265484186782789,0.401,0.114,0,11,"EGFR-5","Protonephridia"
"SMED30000756",0,1.12498338815571,0.848,0.08,0,3,"EGFR-5","Protonephridia"
"SMED30000756",1.74310562984984e-79,0.263794364094801,0.355,0.12,5.86886234514142e-75,70,"EGFR-5","Neural"
"SMED30000756",0,0.787190634178248,0.822,0.119,0,73,"EGFR-5","Protonephridia"
"SMED30000771",0,0.736622171711294,0.646,0.393,0,21,"Neuroblast differentiation-associated protein AHNAK","Epidermis"
"SMED30000771",0,0.399598027757927,0.665,0.392,0,17,"Neuroblast differentiation-associated protein AHNAK","Epidermis"
"SMED30000771",0,0.660223938990676,0.643,0.373,0,2,"Neuroblast differentiation-associated protein AHNAK","Epidermis"
"SMED30000771",1.53133493474458e-28,-0.307348748080255,0.211,0.396,5.15585159179152e-24,66,"Neuroblast differentiation-associated protein AHNAK","Parenchymal"
"SMED30000771",1.09706955735336e-301,-0.258448500248802,0.274,0.403,3.69372349265302e-297,3,"Neuroblast differentiation-associated protein AHNAK","Protonephridia"
"SMED30000779",0,0.2758394199302,0.279,0.004,0,52,NA,"Neural"
"SMED30000802",0,2.02008144053029,0.996,0.002,0,65,NA,"Neural"
"SMED30000854",0,0.725091765626972,0.625,0.002,0,58,"Neuropeptide-23","Neural"
"SMED30000919",0,0.5798168872793,0.488,0.039,0,19,NA,"Neural"
"SMED30000919",0,0.294338410325483,0.338,0.041,0,26,NA,"Neural"
"SMED30000919",0,0.472771210206344,0.463,0.043,0,71,NA,"Neural"
"SMED30000978",0,0.37681684920832,0.33,0.001,0,41,NA,"Neural"
"SMED30001116",0,0.261138868194489,0.32,0.063,0,3,"Cilia- and flagella-associated protein 44","Protonephridia"
"SMED30001130",0,0.355781278612024,0.313,0.032,0,2,"Death-associated protein kinase 1-like","Epidermis"
"SMED30001142",1.58986411966599e-251,0.315096163567311,0.375,0.09,5.35291350450343e-247,54,"Cadherin","Neural"
"SMED30001142",0,0.781053512368421,0.668,0.086,0,26,"Cadherin","Neural"
"SMED30001142",4.49662077926658e-75,0.28427676966874,0.375,0.091,1.51396725017126e-70,85,"Cadherin","Neural"
"SMED30001142",0,0.26825928484559,0.363,0.088,0,20,"Cadherin","Neural"
"SMED30001142",1.37590497542562e-173,0.295912867963055,0.361,0.091,4.63253446176052e-169,61,"Cadherin","Neural"
"SMED30001148",3.00853966875847e-153,0.252293242987335,0.312,0.054,1.01294522107429e-148,79,"Adhesion G protein-coupled receptor E1","Neural"
"SMED30001207",0,0.55659241570147,0.551,0.06,0,26,"Calmodulin-binding transcription activator 1","Neural"
"SMED30001301",0,0.645571755614534,0.408,0.004,0,38,"TPA_inf: secreted peptide prohormone-16","Neural"
"SMED30001359",0,0.697607086600795,0.633,0.384,0,21,"Neuroblast differentiation-associated protein AHNAK","Epidermis"
"SMED30001359",0,0.448992950943055,0.674,0.382,0,17,"Neuroblast differentiation-associated protein AHNAK","Epidermis"
"SMED30001359",3.39942465990472e-34,-0.328352098471973,0.175,0.387,1.14455228874332e-29,66,"Neuroblast differentiation-associated protein AHNAK","Parenchymal"
